,type,title,release_year,api_url,target_url,audience_score,tomato_score
6839,Movie,Get Him to the Greek,2010,https://www.rottentomatoes.com/api/private/v2.0/search?q=Get+Him+to+the+Greek,https://www.rottentomatoes.com/m/get_him_to_the_greek,-2,-2
6840,Movie,Get Santa,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=Get+Santa,https://www.rottentomatoes.com/m/get_santa,53,79
6841,TV Show,Get Shorty,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Get+Shorty,https://www.rottentomatoes.com/tv/get_shorty,95,-1
6842,Movie,Get Smart,2008,https://www.rottentomatoes.com/api/private/v2.0/search?q=Get+Smart,https://www.rottentomatoes.com/m/get_smart,67,51
6843,Movie,Getting Played,2005,https://www.rottentomatoes.com/api/private/v2.0/search?q=Getting+Played,https://www.rottentomatoes.com/m/getting_played,42,-1
6844,Movie,Ghayal,1990,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ghayal,https://www.rottentomatoes.com/m/ghayal,-1,-1
6845,Movie,Ghost House,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ghost+House,https://www.rottentomatoes.com/m/ghost_house_2017,23,22
6846,Movie,Ghost Pain,2013,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ghost+Pain,https://www.rottentomatoes.com/m/ghost_in_the_shell_arise_border_1_ghost_pain,72,-1
6847,Movie,Ghost Rider,2007,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ghost+Rider,https://www.rottentomatoes.com/m/ghost_rider,47,27
6848,Movie,Ghost Tears,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ghost+Tears,https://www.rottentomatoes.com/m/ghost_in_the_shell_arise_border_3_ghost_tears,43,-1
6849,TV Show,Ghost Town Gold,2012,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ghost+Town+Gold,Not found on RT,-2,-2
6850,Movie,Ghost Whispers,2013,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ghost+Whispers,https://www.rottentomatoes.com/m/1195586-voice,62,-1
6851,Movie,Ghulam-E-Musthafa,1997,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ghulam-E-Musthafa,https://www.rottentomatoes.com/m/ghulam_e_musthafa,44,-1
6852,Movie,Gie,2005,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gie,https://www.rottentomatoes.com/m/gie,86,-1
6853,Movie,Gigi,1958,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gigi,https://www.rottentomatoes.com/m/gigi_2017,-1,-1
6854,Movie,Ginger & Rosa,2012,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ginger+and+Rosa,https://www.rottentomatoes.com/m/ginger_and_rosa,50,78
6855,Movie,"Girl, Boy, Bakla, Tomboy",2013,"https://www.rottentomatoes.com/api/private/v2.0/search?q=Girl,+Boy,+Bakla,+Tomboy",https://www.rottentomatoes.com/m/girl_boy_bakla_tomboy,63,-1
6856,Movie,GLOW: The Story of the Gorgeous Ladies of Wrestling,2012,https://www.rottentomatoes.com/api/private/v2.0/search?q=GLOW:+The+Story+of+the+Gorgeous+Ladies+of+Wrestling,https://www.rottentomatoes.com/m/glow_the_story_of_the_gorgeous_ladies_of_wrestling,77,-1
6857,TV Show,Glowing Embers,2010,https://www.rottentomatoes.com/api/private/v2.0/search?q=Glowing+Embers,Not found on RT,-2,-2
6858,Movie,God Bless the Broken Road,2018,https://www.rottentomatoes.com/api/private/v2.0/search?q=God+Bless+the+Broken+Road,https://www.rottentomatoes.com/m/god_bless_the_broken_road,77,17
6859,Movie,God Knows Where I Am,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=God+Knows+Where+I+Am,https://www.rottentomatoes.com/m/god_knows_where_i_am,87,85
6860,Movie,God of War,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=God+of+War,https://www.rottentomatoes.com/m/god_of_war,53,82
6861,Movie,God's Not Dead,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=God's+Not+Dead,https://www.rottentomatoes.com/m/gods_not_dead,75,12
6862,Movie,God's Not Dead: A Light in Darkness,2018,https://www.rottentomatoes.com/api/private/v2.0/search?q=God's+Not+Dead:+A+Light+in+Darkness,https://www.rottentomatoes.com/m/gods_not_dead_a_light_in_darkness,53,10
6863,Movie,God's Own Country,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=God's+Own+Country,https://www.rottentomatoes.com/m/gods_own_country_2017,87,98
6864,Movie,Gol Maal,1979,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gol+Maal,https://www.rottentomatoes.com/m/gol_maal,93,-1
6865,Movie,Golden Time,2013,https://www.rottentomatoes.com/api/private/v2.0/search?q=Golden+Time,Not found on RT,-2,-2
6866,Movie,GoldenEye,1995,https://www.rottentomatoes.com/api/private/v2.0/search?q=GoldenEye,https://www.rottentomatoes.com/m/goldeneye,83,80
6867,Movie,Goldie,2019,https://www.rottentomatoes.com/api/private/v2.0/search?q=Goldie,https://www.rottentomatoes.com/m/goldie,60,95
6868,TV Show,Goldie & Bear,2017,https://www.rottentomatoes.com/api/private/v2.0/search?q=Goldie+and+Bear,Not found on RT,-2,-2
6869,Movie,Goldstone,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Goldstone,https://www.rottentomatoes.com/m/goldstone_2018,71,76
6870,Movie,Golmaal: Fun Unlimited,2006,https://www.rottentomatoes.com/api/private/v2.0/search?q=Golmaal:+Fun+Unlimited,https://www.rottentomatoes.com/m/golmaal_fun_unlimited,75,-1
6871,TV Show,Gomorrah,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gomorrah,https://www.rottentomatoes.com/tv/gomorrah_2016,91,85
6872,Movie,Gone are the Days,2018,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gone+are+the+Days,https://www.rottentomatoes.com/m/gone_are_the_days_2018,57,-1
6873,TV Show,Gonul,2015,https://www.rottentomatoes.com/api/private/v2.0/search?q=Gonul,Not found on RT,-2,-2
6874,Movie,Good Kids,2016,https://www.rottentomatoes.com/api/private/v2.0/search?q=Good+Kids,https://www.rottentomatoes.com/m/good_kids_2016,41,33
6875,Movie,Good Kill,2014,https://www.rottentomatoes.com/api/private/v2.0/search?q=Good+Kill,https://www.rottentomatoes.com/m/good_kill,49,76
